srwsn&600,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time,extra_parm
0,111639,917209,823542,2076,2158,5723,17162,[];sim_time500000.0
0.2,88864,516824,805398,1650,993,5597,9234,[];sim_time500000.0
0.4,104380,926174,817206,1899,1601,5679,13096,[];sim_time500000.0
0.6,123509,927022,832614,2304,1912,5786,28892,[];sim_time500000.0
0.8,98617,696926,814902,1833,1390,5663,24014,[];sim_time500000.0
,,,,,,,,
,,,,,,,,
stdp&600,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time,extra_parm
0,485274,558189,916542,1236,236,4866,57679,[];sim_time500000.0
0.2,539190,1187998,1047766,1374,348,5564,60235,[];sim_time500000.0
0.4,438006,747444,972566,1116,248,5164,60258,[];sim_time500000.0
0.6,471114,862608,1008098,1200,286,5353,62194,[];sim_time500000.0
0.8,494352,1208532,953202,1260,424,5061,63107,[];sim_time500000.0
,,,,,,,,
dtsn&600,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time,extra_parm
0,32196,208289,794630,3588,6137,7952,115378,[];sim_time500000.0
0.2,33864,272040,951630,3810,6423,9522,117055,[];sim_time500000.0
0.4,22734,294630,920730,2592,6371,9213,132733,[];sim_time500000.0
0.6,34212,328654,1026130,3846,8906,10267,133806,[];sim_time500000.0
0.8,33585,197392,787130,3787,6180,7877,104947,[];sim_time500000.0
